Nation,Player,player_positions,Final_Overall,pace,shooting,passing,dribbling,defending,physic
Ecuador,Gonzalo Valle,CB,70,64,36,50,52,72,72
Ecuador,Jordy Alcívar,"CM, CDM",68,70,56,68,68,66,68
Ecuador,Nilson Angulo,"LW, LB",67,80,62,64,72,56,66
Ecuador,Anthony Valencia,"RW, ST",67,84,72,62,76,30,72
Ecuador,Denil Castillo,LB,67,76,46,60,64,68,68
Ecuador,Moisés Ramírez,GK,67,44,11,40,42,11,61
Ecuador,Jordy Caicedo,ST,66,72,72,54,64,28,74
Egypt,Mohamed Salah,"RW, ST",91,90,89,82,90,46,74
Egypt,Omar Marmoush,"ST, LW",84,84,82,74,82,32,72
Egypt,Mohamed El Shenawy,GK,79,50,11,44,46,11,72
Egypt,Ahmed Sayed Zizo,"CAM, LW",78,76,66,68,74,34,64
Egypt,Emam Ashour,"CM, CDM",76,70,58,68,68,66,70
Egypt,Mahmoud Hassan Trezeguet,"RW, CAM",76,84,72,68,78,32,68
Egypt,Mostafa Mohamed,ST,76,74,74,62,66,34,72
Egypt,Ahmed Fattouh,RB,75,72,46,58,62,66,68
Egypt,Hamdy Fathy,"RW, LW",75,78,66,64,74,30,66
Egypt,Ahmed Hegazi,CB,74,68,42,58,56,74,78
Egypt,Ibrahim Adel,"RW, LW",74,82,70,64,76,30,64
Egypt,Mohamed Abdelmonem,CB,74,62,40,63,61,74,74
Egypt,Yasser Ibrahim,CB,73,64,36,50,52,72,72
Egypt,Mohamed Hany,"CB, LB",73,68,38,52,54,74,74
Egypt,Marwan Hamdy,"ST,LW",72,76,68,62,66,32,64
Egypt,Ramadan Sobhi,"CM,CAM",72,76,64,70,72,40,62
Egypt,Karim Hafez,CB,72,62,34,48,50,70,72
Egypt,Mohannad Lasheen,ST,70,72,66,58,62,30,64
Egypt,Nabil Emad,"CDM,CM",70,66,48,64,60,66,70
Egypt,Hamza Abdel-Karim,"LB,CB",70,70,44,60,56,68,70
Egypt,Ali Gabr,CB,70,66,38,54,52,70,74
Egypt,El-Mahdi Soliman,"CDM,CM",69,64,44,62,58,64,70
Egypt,Marwan Attia,GK,68,44,11,40,42,12,62
Egypt,Mahmoud Saber,RB,68,72,46,60,60,64,66
Egypt,Mohamed Alaa,"RB,CB",68,70,44,58,58,65,66
Egypt,Rami Rabia,GK,67,50,11,42,44,11,70
England,Jude Victor William Bellingham,"CAM, CM",90,80,86,83,90,78,85
England,Harry Kane,"ST, CF",89,68,91,84,82,42,82
England,Bukayo Saka,"RW, RM",88,84,82,85,88,60,73
England,Declan Rice,"CDM, CM",87,72,73,84,80,83,83
England,Ollie Watkins,"ST, LW",84,82,80,70,74,32,74
England,Jordan Pickford,GK,84,54,12,48,50,12,72
England,Anthony Gordon,"LW, RW",83,84,72,68,78,34,68
England,Eberechi Eze,"CAM, CM",83,78,76,74,80,34,66
England,Ezri Konsa,"CB, RB",82,76,40,56,58,78,78
England,Morgan Rogers,"CAM, LW",82,78,68,68,76,40,68
England,Marc Guéhi,CB,82,75,40,64,71,83,79
England,John Stones,"CB, RB",82,64,58,74,75,84,72
England,Reece James,RB,81,76,71,82,77,81,81
England,Ivan Toney,ST,81,66,78,64,66,32,82
England,Dean Henderson,GK,81,54,11,44,46,11,72
England,Tino Livramento,RB,80,80,52,62,68,70,70
England,Marcus Rashford,"LM, LW, ST",80,87,82,77,80,33,63
England,Noni Madueke,"RW, LW",80,84,72,66,78,30,66
England,Elliot Anderson,"CM, CDM",80,72,60,68,68,64,72
England,Dan Burn,"CB, LB",79,60,36,52,52,74,82
England,Jordan Henderson,"CM, CDM",79,66,60,74,68,70,74
England,Djed Spence,"RB, RM",78,82,50,60,66,68,70
England,Kobbie Mainoo,"CM, CDM",77,68,69,74,81,73,74
England,James Trafford,GK,76,52,11,44,46,11,72
England,Jarell Quansah,CB,75,72,38,54,56,76,76
England,Nico O'Reilly,"LB, CM, CAM",73,73,66,72,73,69,70
France,Kylian Mbappé,"ST, LW",91,96,92,84,92,44,78
France,Ousmane Dembélé,"RW, LW",90,92,80,78,86,36,68
France,Jules Koundé,"CB, RB",87,82,56,70,74,84,78
France,William Saliba,CB,87,76,42,64,64,87,82
France,Mike Maignan,GK,87,58,13,50,52,13,76
France,Ibrahima Konaté,CB,86,77,34,63,69,86,85
France,Dayot Upamecano,CB,86,78,45,69,71,86,86
France,Michael Olise,"RW, CAM",86,82,80,78,84,34,68
France,Désiré Doué,"RW, LW, CM, RM",85,83,80,77,90,55,74
France,Adrien Rabiot,"CM, CDM",85,74,76,81,81,79,83
France,Marcus Thuram,"ST, LW",85,86,83,76,82,50,80
France,N'Golo Kanté,"CDM, CM",85,77,65,73,80,85,79
France,Aurélien Tchouaméni,"CDM, CB",84,74,56,72,72,82,82
France,Théo Hernandez,LB,84,90,68,72,78,66,76
France,Bradley Barcola,"LW, RW, LM",84,90,77,78,84,39,66
France,Jean-Philippe Mateta,ST,82,75,84,70,77,41,81
France,Lucas Hernández,"LB, CB",81,81,63,75,74,80,79
France,Rayan Cherki,"CAM, LW",81,78,74,76,82,36,62
France,Brice Samba,GK,80,52,12,44,46,12,74
France,Manu Koné,"CM, CDM",80,80,69,76,81,76,79
France,Maghnes Akliouche,"RM, CAM, RW",80,74,70,78,83,48,62
France,Warren Zaïre-Emery,"CM, CDM, CAM",80,79,68,76,79,75,79
France,Lucas Digne,"LB, LM",80,69,68,79,76,77,74
France,Maxence Lacroix,CB,79,72,38,54,56,78,78
France,Malo Gusto,"RB, RM",79,84,45,75,78,73,74
France,Robin Risser,GK,72,46,10,38,40,10,66
Germany,Florian Wirtz,"CAM, CM",89,76,80,84,88,40,66
Germany,Joshua Kimmich,"CDM, RB",89,72,60,88,82,82,74
Germany,Jamal Musiala,"CAM, LM, CM, ST",88,80,82,80,90,66,65
Germany,Jonathan Tah,CB,87,74,42,60,62,84,82
Germany,Antonio Rüdiger,CB,86,79,55,72,70,84,86
Germany,Nico Schlotterbeck,CB,85,74,40,60,62,82,80
Germany,Manuel Neuer,GK,84,58,14,56,58,14,76
Germany,Angelo Stiller,"CDM, CM",83,56,58,83,84,76,71
Germany,Oliver Baumann,GK,83,52,11,46,48,11,72
Germany,David Raum,"LB, LM",82,86,61,80,79,74,78
Germany,Felix Nmecha,"CM, CDM",82,76,62,72,72,68,78
Germany,Kai Havertz,"CAM, ST",82,78,80,80,82,56,78
Germany,Leroy Sané,"RW, LW",82,90,80,80,86,36,70
Germany,Waldemar Anton,CB,82,69,47,67,66,84,84
Germany,Leon Goretzka,"CM, CDM",82,72,72,76,74,74,86
Germany,Alexander Nübel,GK,81,52,11,44,46,11,72
Germany,Nadiem Amiri,"CM, CAM",81,65,79,82,82,62,72
Germany,Deniz Undav,"ST, CAM",80,66,82,74,80,33,77
Germany,Pascal Groß,"CDM, CM",80,48,75,84,79,72,76
Germany,Aleksandar Pavlović,"CDM, CM",79,62,64,79,78,76,71
Germany,Maximilian Beier,"ST, RM, LM, RW",79,86,79,68,80,43,62
Germany,Nick Woltemade,"ST, CAM",79,67,78,65,79,41,74
Germany,Malick Thiaw,CB,78,76,40,58,60,80,80
Germany,Nathaniel Brown,"LB, LM",77,83,53,71,77,71,51
Germany,Jamie Leweling,"RM, RW, LM",75,83,71,65,78,46,72
Germany,Lennart Karl,"CAM, RM, CM",63,69,58,60,69,34,37
Ghana,Iñaki Williams,"ST, LW",83,86,72,64,76,32,74
Ghana,Thomas Partey,"CDM, CM",83,78,64,74,72,80,82
Ghana,Antoine Semenyo,"LW, RW",80,84,72,64,76,28,70
Ghana,Abdul Mumin,CB,77,66,36,50,52,72,72
Ghana,Baba Abdul Rahman,LB,76,78,46,60,64,68,68
Ghana,Abdul Fatawu Issahaku,"RW, LW",76,84,70,62,76,28,64
Ghana,Kamaldeen Sulemana,"LW,RW",75,86,66,68,74,34,62
Ghana,Ernest Nuamah,"LW, RW",75,84,68,60,76,28,68
Ghana,Mohammed Salisu,CB,74,70,42,58,56,74,76
Ghana,Lawrence Ati-Zigi,GK,74,50,12,44,46,12,68
Ghana,Alidu Seidu,"CB, RB, RM",74,61,43,61,70,75,67
Ghana,Gideon Mensah,"LB, LM",74,76,57,65,72,68,67
Ghana,Elisha Owusu,"CDM, CM",73,55,54,68,70,70,70
Ghana,Jordan Ayew,"ST, LW",73,78,70,64,72,34,72
Ghana,Jerome Opoku,"CB, LB",72,68,36,50,52,72,72
Ghana,Christopher Bonsu Baah,"LW,RW",71,80,64,66,70,32,60
Ghana,Prince Kwabena Adu,ST,70,73,69,57,67,26,66
Ghana,Jonas Adjetey,RB,70,70,44,56,60,66,66
Ghana,Derrick Luckassen,CB,70,68,40,54,52,70,74
Ghana,Brandon Thomas-Asante,ST,69,74,70,58,64,28,72
Ghana,Augustine Boakye,"RW, RM",69,86,61,59,73,26,57
Ghana,Yaw Yeboah,"RW,LW",69,78,60,64,68,32,58
Ghana,Kwasi Sibo,"CDM, CM, CB",69,63,54,58,65,67,79
Ghana,Kojo Oppong,"LW,RW",68,76,60,62,66,30,58
Ghana,Caleb Yirenkyi,GK,67,48,10,40,42,10,68
Ghana,Joseph Anang,GK,67,48,10,40,42,10,68
Haiti,Jean-Ricner Bellegarde,"CAM, CM",75,78,63,72,78,70,72
Haiti,Frantzdy Pierrot,ST,72,65,72,56,62,32,82
Haiti,Ricardo Ade,CB,72,71,36,58,57,71,77
Haiti,Jean-Kevin Duverne,"LB, RB, CB, LM",71,60,38,62,67,72,73
Haiti,Carlens Arcus,"CB, LB",71,62,34,48,50,68,70
Haiti,Danley Jean Jacques,"CM, CDM",70,69,56,66,70,67,74
Haiti,Johny Placide,GK,69,44,10,38,40,10,66
Haiti,Wilson Isidor,"ST,LW",67,78,64,58,64,30,62
Haiti,Duckens Nazon,"ST,LW",66,76,62,56,62,28,60
Haiti,Derrick Etienne Jr.,"RW, LW",66,80,62,60,74,28,64
Haiti,Hannes Delcroix,"CB,LB",66,66,38,54,52,66,68
Haiti,Louicius Deedson,CB,65,60,32,46,48,66,70
Haiti,Carl Fred Sainté,CB,65,64,38,52,50,64,67
Haiti,Josué Casimir,"CDM,CM",65,62,46,60,56,62,66
Haiti,Josué Duverger,"LB,LM",64,68,42,58,56,62,64
Haiti,Keeto Thermoncy,GK,64,42,10,38,40,11,58
Haiti,Ruben Providence,"RW,LW",63,72,56,58,60,28,56
Haiti,Dominique Simon,"CM,CDM",63,62,44,58,54,60,62
Haiti,Yassin Fortuné,"CM,CDM",63,64,46,60,56,60,64
Haiti,Alexandre Pierre,"CM,CDM",63,62,44,58,54,60,64
Haiti,Duke Lacroix,"CM,CAM",63,68,52,62,58,44,62
Haiti,Woodensky Pierre,"RB,CB",62,66,40,52,50,62,64
Haiti,Martin Experience,"LB, LM",62,68,36,53,59,58,64
Haiti,Lenny Joseph,GK,62,40,10,36,38,10,56
Haiti,Leverton Pierre,CB,62,62,36,50,48,62,66
Haiti,Wilguens Paugain,"RB, RM",55,62,34,42,50,54,63
Iran,Mehdi Taremi,ST,78,74,78,74,78,38,68
Iran,Alireza Beiranvand,GK,74,48,10,40,42,10,72
Iran,Alireza Jahanbakhsh,"RW, LW",74,82,70,68,76,32,68
Iran,Ali Gholizadeh,"LW, RW",73,84,66,62,76,28,64
Iran,Hossein Kanaani,RB,73,68,44,56,58,64,66
Iran,Ramin Rezaeian,RB,73,70,46,58,62,64,68
Iran,Mehdi Ghayedi,"CAM, LW",73,74,64,66,72,36,62
Iran,Saeid Ezatolahi,"CDM, CM",73,70,54,66,66,70,72
Iran,Shoja Khalilzadeh,CB,72,62,34,48,50,68,72
Iran,Mohammad Mohebi,"CM, CDM",72,66,50,60,62,62,66
Iran,Saman Ghoddos,"CAM, CM",72,72,64,68,72,42,64
Iran,Mehdi Torabi,"LW, CAM",72,76,66,66,72,34,62
Iran,Ehsan Hajsafi,"LB, LW",72,72,52,64,66,66,66
Iran,Milad Mohammadi,LB,72,70,44,58,62,66,66
Iran,Aria Yousefi,"LW,RW",71,78,64,66,70,34,60
Iran,Roozbeh Cheshmi,"CM, CDM",71,66,52,60,62,64,68
Iran,Omid Noorafkan,"LB, LW",71,74,50,60,64,64,64
Iran,Allahyar Sayyadmanesh,"ST, LW",71,80,70,60,72,28,68
Iran,Majid Hosseini,CB,71,64,36,50,52,72,74
Iran,Dennis Eckert Aogo,"LW,RW",70,76,60,64,68,34,60
Iran,Ali Nemati,CB,70,66,38,56,54,70,72
Iran,Seyed Hossein Hosseini,GK,70,46,11,42,44,12,64
Iran,Amirhossein Hosseinzadeh,"CM,CAM",69,70,58,66,64,46,62
Iran,Mohammad Ghorbani,GK,68,44,10,40,42,11,62
Iran,Shahriar Moghanlou,"CDM,CM",68,64,46,62,58,64,68
Iran,Amirmohammad Razzaghpour,"RB,CB",68,70,44,58,56,66,68
Iraq,Mohanad Ali,"LW, ST",72,76,73,61,71,32,74
Iraq,Ali Jassim,"CAM, LW",70,84,65,68,74,35,60
Iraq,Zidane Iqbal,"CDM, CM, CB",68,64,60,64,73,63,62
Iraq,Ibrahim Bayesh,GK,68,46,10,38,40,10,66
Iraq,Merchas Doski,"LB, LM",68,75,54,65,71,62,62
Iraq,Ali Al-Hamadi,ST,68,78,69,58,68,28,72
Iraq,Amir Al-Ammari,"CM, CDM",67,69,61,68,69,64,71
Iraq,Aimar Sher,"CM, CDM",67,60,48,58,60,60,64
Iraq,Aymen Hussein,"ST,LW",67,72,62,58,62,28,60
Iraq,Akam Hashim,"CDM,CM",66,64,46,62,58,64,68
Iraq,Marko Farji,"CM, CAM",66,62,52,60,62,50,62
Iraq,Jalal Hassan,CB,66,64,38,52,50,66,68
Iraq,Kevin Yakob,"RB, CB",66,62,34,48,50,66,66
Iraq,Ali Yousef,"CAM,CM",66,66,56,64,60,46,60
Iraq,Ahmed Yahya,"CM,CDM",65,62,44,60,56,62,66
Iraq,Hussein Ali,CB,65,64,38,52,50,65,67
Iraq,Frans Putros,"CM,CAM",65,66,54,62,58,44,60
Iraq,Mustafa Saadoon,"LW,CAM",65,70,58,60,60,32,58
Iraq,Hussain Ali,CB,65,64,38,52,50,65,67
Iraq,Fahad Talib,GK,65,42,10,38,40,11,59
Iraq,Youssef Amyn,"CB,CDM",65,64,40,54,52,64,66
Iraq,Zaid Tahseen,"CB,LB",64,64,38,50,48,64,66
Iraq,Ahmed Basil,"CM,CDM",64,62,44,58,54,60,64
Iraq,Rebin Sulaka,GK,64,40,10,36,38,10,58
Iraq,Manaf Younis,RB,64,70,42,54,54,62,64
Iraq,Ahmad Yasin,"LB,CB",63,66,40,52,50,62,64
Ivory Coast,Evan Ndicka,"CB, LB",81,74,40,58,62,80,78
Ivory Coast,Wilfried Singo,RB,80,84,56,64,70,70,74
Ivory Coast,Ousmane Diomandé,CB,80,80,26,51,70,79,86
Ivory Coast,Amad Diallo,"RW, LW",80,86,74,75,84,42,63
Ivory Coast,Franck Kessié,"CDM, CM",80,74,66,72,72,78,86
Ivory Coast,Nicolas Pépé,"RM, ST, RW",80,88,77,76,82,36,67
Ivory Coast,Odilon Kossounou,CB,80,76,38,54,58,80,78
Ivory Coast,Séko Fofana,"CDM, CM",79,78,74,77,80,74,83
Ivory Coast,Evann Guessand,"RM, RW, ST",79,83,76,73,79,36,77
Ivory Coast,Emmanuel Agbadou,CB,79,68,38,52,54,76,78
Ivory Coast,Guéla Doué,"RB, CB, RM",77,72,47,70,72,74,78
Ivory Coast,Ibrahim Sangaré,"CDM, CM",77,58,65,72,71,77,79
Ivory Coast,Yahia Fofana,GK,76,52,11,44,46,11,72
Ivory Coast,Simon Adingra,"RM, LM, RW",76,87,70,70,80,30,52
Ivory Coast,Alban Lafont,GK,75,52,11,44,46,11,72
Ivory Coast,Christopher Operi,CB,74,66,36,50,52,72,74
Ivory Coast,Ange-Yoan Bonny,"ST,LW",74,78,70,64,68,32,68
Ivory Coast,Elye Wahi,ST,73,76,70,60,66,30,66
Ivory Coast,Ghislain Konan,LB,72,76,46,60,64,66,68
Ivory Coast,Jean-Philippe Krasso,"ST,LW",72,74,66,60,64,30,68
Ivory Coast,Parfait Guiagon,"LM, RM, LW",72,72,67,66,77,26,58
Ivory Coast,Oumar Diakité,ST,72,82,71,57,70,21,71
Ivory Coast,Bazoumana Touré,"LM, LW, CAM",70,91,59,62,71,28,51
Ivory Coast,Mohamed Koné,GK,68,74,38,54,56,78,76
Ivory Coast,Yan Diomandé,"LM, RM, ST, LW",66,71,61,62,64,25,49
Ivory Coast,Christ Inao Oulai,"ST, LW",64,78,70,60,72,28,70
Japan,Takefusa Kubo,"RM, RW",82,86,77,78,85,40,64
Japan,Ritsu Doan,"RM, CAM, RB",82,82,71,78,85,41,64
Japan,Takehiro Tomiyasu,"RB,CB",79,78,56,72,70,76,76
Japan,Daizen Maeda,"LW, ST, RW, LM",79,92,79,70,76,65,79
Japan,Wataru Endo,"CDM, CM",79,58,68,71,77,79,73
Japan,Kaishu Sano,"CDM, CM",79,79,51,67,76,78,75
Japan,Hiroki Ito,"CB, LB, LM",78,74,57,71,72,80,72
Japan,Ko Itakura,"CB, CDM",77,75,59,61,74,77,76
Japan,Junya Ito,"RM, RW",77,86,69,72,78,58,70
Japan,Daichi Kamada,"CM, CAM",77,71,72,77,78,64,66
Japan,Keito Nakamura,"LM, LW",76,79,74,71,77,41,74
Japan,Ao Tanaka,"CDM, CM",76,70,68,72,77,73,71
Japan,Tsuyoshi Watanabe,CB,75,76,39,52,59,76,78
Japan,Ayase Ueda,ST,74,74,75,58,69,28,69
Japan,Zion Suzuki,GK,74,56,12,46,48,12,74
Japan,Yukinari Sugawara,"RB, RM",74,75,54,73,72,69,70
Japan,Yuto Nagatomo,"LB,LM",72,72,44,64,62,66,68
Japan,Yuito Suzuki,"CAM, ST",71,83,68,65,74,48,57
Japan,Shogo Taniguchi,CB,69,58,45,59,57,70,72
Japan,Ayumu Seko,"CB, CDM",69,64,36,57,59,69,74
Japan,Koki Ogawa,ST,68,51,69,57,65,29,67
Japan,Keisuke Osako,ST,68,68,62,56,58,32,66
Japan,Tomoki Hayakawa,GK,68,44,11,40,42,11,62
Japan,Junnosuke Suzuki,"CB, CDM",66,73,44,59,59,66,65
Japan,Kento Shiogai,ST,66,84,65,55,66,21,57
Japan,Keisuke Goto,ST,57,53,58,43,51,29,65
Jordan,Mousa Al-Tamari,"LW, RW",77,78,64,62,72,30,64
Jordan,Yazan Al Arab,CB,75,79,29,46,52,73,83
Jordan,Ali Olwan,"CM, CDM",71,62,48,58,60,60,66
Jordan,Ehsan Haddad,CB,70,66,38,54,52,70,72
Jordan,Hussam Abu Dhahab,"LB,CB",68,68,42,56,54,66,68
Jordan,Abdallah Nasib,CB,68,64,38,52,50,68,70
Jordan,Odeh Fakhoury,"ST,LW",68,72,62,60,62,30,60
Jordan,Mohammad Abu Zraiq,"CM,CDM",68,64,46,62,58,62,66
Jordan,Amer Jamous,"CB,CDM",68,64,40,54,52,66,70
Jordan,Amer Shafi,GK,67,44,11,40,42,11,61
Jordan,Mohammad Abu Hashish,RB,67,70,44,56,56,64,66
Jordan,Mahmoud Mardahi,"CDM,CM",67,62,44,60,56,64,68
Jordan,Noor Al-Rawabdeh,"CM,CAM",67,66,56,62,60,42,60
Jordan,Saed Al-Rosan,"LW,LM",66,72,58,60,60,30,56
Jordan,Nour Bani Attiah,LB,66,68,42,56,54,64,66
Jordan,Nizar Al-Rashdan,"ST,LW",66,70,60,58,60,28,60
Jordan,Mohammad Abu Alnadi,"CM,CAM",66,64,52,60,56,44,60
Jordan,Salem Obaid,"RB,CB",66,68,42,54,54,62,64
Jordan,Mohammad Al-Dawoud,CB,66,62,36,50,48,66,68
Jordan,Mohannad Abu Taha,"CM,CDM",65,62,44,60,54,62,66
Jordan,Abdallah Al-Fakhouri,"CM,CAM",65,64,52,60,56,44,58
Jordan,Anas Badawi,"RW,LW",65,70,56,58,58,30,56
Jordan,Rajaei Ayed,"RB,CB",65,68,40,52,50,62,64
Jordan,Yazeed Abulaila,GK,65,42,10,38,40,10,59
Jordan,Yazid Abulaila,GK,65,42,10,38,40,10,59
Jordan,Ibrahim Sabra,ST,61,91,60,41,56,22,56
Mexico,Julián Quiñones,"LW, ST",80,84,74,64,80,28,68
Mexico,Santiago Giménez,ST,79,79,84,68,78,32,76
Mexico,Edson Álvarez,"CDM, CB",78,67,52,74,70,82,84
Mexico,Roberto Alvarado,"CAM, CM",78,76,70,68,76,36,65
Mexico,Alexis Vega,"LW, CAM",78,80,72,68,80,35,64
Mexico,Orbelin Pineda,"CAM, CM",77,74,66,72,76,40,64
Mexico,Raúl Jiménez,ST,77,74,80,70,76,35,78
Mexico,Álvaro Fidalgo,"CM, CAM",77,68,62,72,72,56,68
Mexico,Luis Chávez,"LB, CDM",76,76,62,66,68,72,74
Mexico,Johan Vásquez,CB,75,72,40,54,56,78,74
Mexico,Israel Reyes,CB,75,64,36,50,52,74,76
Mexico,Luis Romo,"CM, CDM",75,70,60,70,68,70,74
Mexico,César Montes,CB,75,64,38,52,54,80,82
Mexico,Jesús Gallardo,LB,75,82,52,64,70,72,70
Mexico,Guillermo Ochoa,GK,74,52,12,46,50,12,70
Mexico,Carlos Acevedo,GK,74,48,10,42,44,11,72
Mexico,Armando González,CB,74,62,34,50,52,72,74
Mexico,Gilberto Mora,"LB, RB",73,72,46,58,62,68,68
Mexico,Jorge Sánchez,RB,73,79,52,58,64,72,72
Mexico,Erik Lira,"CDM, CM",73,68,55,68,68,72,73
Mexico,César Huerta,"LW, ST",73,82,72,60,78,28,62
Mexico,Guillermo Martínez,"ST, LW",73,82,72,60,76,28,70
Mexico,Mateo Chávez,"CM, CDM",72,68,54,65,67,65,70
Mexico,Raúl Rangel,GK,72,46,11,42,44,11,68
Mexico,Brian Gutiérrez,"CAM, CM",72,74,65,68,76,38,64
Mexico,Obed Vargas,"CDM, CM",69,66,50,66,67,68,72
Morocco,Achraf Hakimi,"RB, RM",89,94,74,78,84,72,74
Morocco,Brahim Díaz,"CAM, LW",82,80,76,76,84,32,62
Morocco,Yassine Bounou,GK,82,56,12,48,50,12,72
Morocco,Nayef Aguerd,CB,81,72,50,67,65,82,77
Morocco,Noussair Mazraoui,"RB, CB, RM",80,75,66,76,80,77,72
Morocco,Ayoub El Kaabi,ST,80,82,82,62,75,46,77
Morocco,Ismael Saibari,"CM, CAM",79,76,68,72,78,48,68
Morocco,Sofyan Amrabat,"CDM, CM, CB",78,61,70,73,74,75,82
Morocco,Hakim Ziyech,"CAM,LW",78,74,72,80,78,38,62
Morocco,Soufiane Rahimi,"LM, LW, ST",78,85,76,72,77,38,66
Morocco,Neil El Aynaoui,"CM, CDM",77,62,63,76,74,73,75
Morocco,Abdessamad Ezzalzouli,"LM, LW",77,87,69,70,81,29,63
Morocco,Azzedine Ounahi,"CM, CAM",76,64,66,73,77,63,67
Morocco,Bilal El Khannous,"CM,CAM",76,76,64,74,72,50,66
Morocco,Issa Diop,CB,76,72,42,60,56,76,78
Morocco,Zakaria El Ouahdi,"RB, RM, RW",76,73,66,70,77,69,71
Morocco,Munir El Kajoui,GK,74,50,11,42,44,11,70
Morocco,Ayoub Bouaddi,"CM,CAM",73,72,60,70,66,54,64
Morocco,Chemsdine Talbi,"RM, LM, RW",73,90,59,64,79,47,57
Morocco,Chadi Riad,CB,72,70,40,58,62,78,78
Morocco,Youssef Belammari,"RM,LM,RW",70,78,62,66,68,34,60
Morocco,Anass Salah-Eddine,"RB,CB",70,74,46,62,60,68,68
Morocco,Yassine Gessim,"CB,LB",70,66,40,54,52,70,72
Morocco,Ahmed Reda Tagnaouti,GK,70,48,10,42,44,10,68
Morocco,Samir El Mourabet,CM,66,57,51,63,64,59,61
Morocco,Redouane Halhal,CB,63,59,30,44,48,64,65
Netherlands,Virgil van Dijk,CB,90,73,60,72,72,90,87
Netherlands,Frenkie de Jong,"CM, CDM",87,82,71,85,87,78,77
Netherlands,Tijjani Reijnders,"CM, CAM",86,78,70,78,80,62,74
Netherlands,Ryan Gravenberch,"CM, CDM",85,80,66,78,80,68,78
Netherlands,Denzel Dumfries,"RB, RM",84,86,66,68,74,70,78
Netherlands,Cody Gakpo,"LW, ST",84,84,80,76,82,36,74
Netherlands,Nathan Aké,"CB, LB",83,74,44,66,68,82,80
Netherlands,Jurriën Timber,"CB, RB",82,80,54,72,76,82,78
Netherlands,Micky van de Ven,"CB, LB, LM",82,90,49,64,72,82,80
Netherlands,Marten de Roon,"CDM, CM",81,66,56,70,66,78,78
Netherlands,Teun Koopmeiners,"CAM, CM",81,70,79,83,78,75,75
Netherlands,Memphis Depay,"ST, LW, CAM",81,79,82,79,83,30,78
Netherlands,Jan Paul van Hecke,CB,80,67,46,72,70,80,78
Netherlands,Quinten Timber,"CDM, CM",80,74,58,70,70,72,74
Netherlands,Noa Lang,"LW, CAM",80,82,72,72,82,30,66
Netherlands,Justin Kluivert,"LW, CAM",79,82,74,72,80,32,68
Netherlands,Donyell Malen,"RM, RW, LM",79,86,78,72,82,35,67
Netherlands,Bart Verbruggen,GK,78,54,12,46,48,12,74
Netherlands,Wout Weghorst,"ST, CF",78,66,74,66,64,36,84
Netherlands,Jorrel Hato,"LB, CB",78,85,41,70,74,75,73
Netherlands,Mark Flekken,GK,78,54,11,46,48,11,72
Netherlands,Mats Wieffer,"CDM, CM",78,67,66,74,74,76,78
Netherlands,Guus Til,"CM, CAM",77,72,66,70,70,56,74
Netherlands,Brian Brobbey,ST,77,82,78,62,76,28,84
Netherlands,Crysencio Summerville,"LW, RW",76,88,74,68,84,28,66
Netherlands,Robin Roefs,GK,74,52,11,44,46,11,72
New Zealand,Chris Wood,ST,77,70,76,60,62,38,76
New Zealand,Joe Bell,"CM, CDM",74,66,52,64,64,66,70
New Zealand,Liberato Cacace,LB,72,76,46,60,64,66,66
New Zealand,Marko Stamenić,"CM, CDM",71,68,54,64,66,64,68
New Zealand,Sarpreet Singh,"CM,CAM",70,72,62,68,68,44,62
New Zealand,Michael Boxall,CB,70,62,34,50,52,72,74
New Zealand,Francis de Vries,"LB, LM",69,64,53,67,62,63,83
New Zealand,Ryan Thomas,"CM, CDM",69,68,65,71,72,54,63
New Zealand,Tyler Bindon,CB,69,64,36,50,52,72,74
New Zealand,Kosta Barbarouses,"LW,RW",68,80,62,62,66,30,60
New Zealand,Max Crocombe,GK,68,44,11,40,42,11,62
New Zealand,Finn Surman,CB,68,65,33,49,55,66,78
New Zealand,Alex Rufer,"CM, CDM",67,66,50,62,62,64,68
New Zealand,Nando Pijnaker,CB,67,62,34,48,50,70,72
New Zealand,Callum McCowatt,"LW, RW",67,78,62,60,72,28,62
New Zealand,Elijah Just,"LW, ST",66,76,64,60,70,28,66
New Zealand,Ben Waine,ST,66,72,62,56,60,28,64
New Zealand,Tommy Smith,"RB,CB",66,70,44,56,56,62,64
New Zealand,Matthew Garbett,"CM, CAM",65,66,54,64,66,58,66
New Zealand,Ben Old,"LW,RW",65,76,60,60,62,28,56
New Zealand,Alex Paulsen,"RB,CB",65,70,44,56,56,62,64
New Zealand,Callan Elliot,"LW, ST",62,76,64,60,70,28,66
New Zealand,Lachlan Bayliss,ST,62,72,68,54,62,26,72
New Zealand,Tim Payne,GK,62,40,10,36,38,10,56
New Zealand,Michael Woud,GK,60,48,10,40,42,10,68
New Zealand,Jesse Randall,CM,60,64,50,62,62,60,66
Norway,Erling Haaland,ST,91,89,91,70,76,44,85
Norway,Martin Ødegaard,"CM, CAM",87,68,79,88,87,67,65
Norway,Alexander Sørloth,"ST, RW, RM",84,77,82,71,76,36,85
Norway,Fredrik Aursnes,"CM, RB, RM, CAM",80,74,71,78,80,77,82
Norway,Julian Ryerson,"RB, LB, RM",79,74,63,71,76,77,82
Norway,Sander Berge,"CDM, CM",79,72,58,70,70,72,82
